Table 1
root,root2,category,definition,1970.f,1970.s,1980.f,1980.s,1990.f,1990.s,2000.f,2000.s,2010.f,2010.s,,,,,,,,
p15blk,p15blk,age-race,"percentage of 0-15 years old of black race (in 1980, percentage of 0-14 years old of black race; in 2008-12 ACS, percentage of 0-14 years old of black race) ",,,,,,,,,,p15blk12,,,,,,,,
p15hsp,p15hsp,age-race,"percentage of 0-15 years old, persons of Hispanic origins (in 1980, percentage of 0-14 years old, persons of Hispanic origin; in 2008-12 ACS, percentage of 0-14 years old, persons of Hispanic origins)",,,,,,,,,,p15hsp12,,,,,,,,
p15ntv,p15ntv,age-race,"percentage of 0-15 years old of Native American race (in 1980, percentage of 0-14 years old of Native American race; in 2008-12 ACS, percentage of 0-14 years old of Native American race)",,,,,,,,,,p15ntv12,,,,,,,,
p15wht,p15wht,age-race,"percentage of 0-15 years old of white race (in 1980, percentage of 0-14 years old of white race; in 2008-12 ACS, percentage of 0-14 years old of white race) ",,,,,,,,,,p15wht12,,,,,,,,
p18und,p18und,age,percentage of persons age 17 years and under,,,,,,,,,,p18und12,,,,,,,,
p30old,p30old,housing,percentage of structures built more than 30 years ago ,,,,,,,,,,p30old12,,,,,,,,
p60up,p60up,age,percentage of persons age 60 years and over ,,,,,,,,,,p60up12,,,,,,,,
p65asn,p65asn,age-race,percentage of 65 years and older of Asians and Pacific Islanders,,,,,,,,,,p65asn12,,,,,,,,
p65blk,p65blk,age-race,percentage of 65 years and older of black race ,,,,,,,,,,p65blk12,,,,,,,,
p65hsp,p65hsp,age-race,"percentage of 65 years and older, persons of Hispanic origins ",,,,,,,,,,p65hsp12,,,,,,,,
p65ntv,p65ntv,age-race,percentage of 65 years and older of Native American race ,,,,,,,,,,p65ntv12,,,,,,,,
p65pov,p65pov,age-race,percentage of 65 years and older in poverty ,,,,,,,,,,p65pov12,,,,,,,,
p65wht,p65wht,age-race,percentage of 65 years and older of non-Hispanic whites ,,,,,,,,,,p65wht12,,,,,,,,
p75up,p75up,age,percentage of persons age 75 years and over ,,,,,,,,,,p75up12,,,,,,,,
papov,papov,poverty-race,percentage of Asian and Pacific Islanders in poverty,,,,,,,,,,papov12,,,,,,,,
pasian,pasian,race,percentage of persons of Asian race (and Pacific Islander) ,,,,,,,,,,pasian12,,,,,,,,
pbpov,pbpov,poverty-race,percentage of blacks in poverty,,,,,,,,,,pbpov12,,,,,,,,
pchina,pchina,ethnicity,percentage of persons of Chinese race,,,,,,,,,,pchina12,,,,,,,,
pcol,pcol,education,percentage of persons with at least a four-year college degree ,,,,,,,,,,pcol12,,,,,,,,
pcuban,pcuban,ethnicity,percentage of Cubans ,,,,,,,,,,pcuban12,,,,,,,,
pfb,pfb,ethnicity,percentage of foreign-born,,,,,,,,,,pfb12,,,,,,,,
pfhh,pfhh,marital,percentage of female-headed families with children ,,,,,,,,,,pfhh12,,,,,,,,
pfilip,pfilip,ethnicity,percentage of persons of Filipino race ,,,,,,,,,,pfilip12,,,,,,,,
pflabf,pflabf,employment,percentage of females in labor force ,,,,,,,,,,pflabf12,,,,,,,,
pfmpov,pfmpov,poverty,percentage of families with children in poverty ,,,,,,,,,,pfmpov12,,,,,,,,
pgeanc,pgeanc,ethnicity,percentage of persons of German parentage or ancestry,,,,,,,,,,pgeanc12,,,,,,,,
pgefb,pgefb,ethnicity,percentage of persons who were born in Germany ,,,,,,,,,,pgefb12,,,,,,,,
phaw,phaw,race,percentage of persons of Hawaiian race,,,,,,,,,,phaw12,,,,,,,,
phisp,phisp,race,percentage of persons of Hispanic origin ,,,,,,,,,,phisp12,,,,,,,,
phpov,phpov,poverty-race,percentage of Hispanics in poverty ,,,,,,,,,,phpov12,,,,,,,,
phs,phs,education,percentage of persons with high school degree or less,,,,,,,,,,phs12,,,,,,,,
pindia,pindia,ethnicity,percentage of persons of Asian Indian race ,,,,,,,,,,pindia12,,,,,,,,
piranc,piranc,ethnicity,percentage of persons of Irish parentage or ancestry,,,,,,,,,,piranc12,,,,,,,,
pirfb,pirfb,ethnicity,percentage of persons who were born in Ireland ,,,,,,,,,,pirfb12,,,,,,,,
pitanc,pitanc,ethnicity,percentage of persons of Italian parentage or ancestry,,,,,,,,,,pitanc12,,,,,,,,
pitfb,pitfb,ethnicity,percentage of persons who were born in Italy ,,,,,,,,,,pitfb12,,,,,,,,
pjapan,pjapan,ethnicity,percentage of persons of Japanese race ,,,,,,,,,,pjapan12,,,,,,,,
pkorea,pkorea,ethnicity,percentage of persons of Korean race,,,,,,,,,,pkorea12,,,,,,,,
plep,plep,ethnicity,percentage of persons who speak English not well ,,,,,,,,,,plep12,,,,,,,,
pmanuf,pmanuf,employment,percentage of manufacturing employees (by industries) ,,,,,,,,,,pmanuf12,,,,,,,,
pmar,pmar,marital,percent currently married (excluding separated) ,,,,,,,,,,pmar12,,,,,,,,
pmex,pmex,ethnicity,percentage of Mexicans ,,,,,,,,,,pmex12,,,,,,,,
pmulti,pmulti,housing,percentage of housing units in multi-unit structures ,,,,,,,,,,pmulti12,,,,,,,,
pnapov,pnapov,poverty-race,percentage of Native Americans in poverty,,,,,,,,,,pnapov12,,,,,,,,
pnat,pnat,ethnicity,percentage of naturalized foreign-born,,,,,,,,,,pnat12,,,,,,,,
pnhblk,pnhblk,race,"percentage of persons of black race, not Hispanic origin",,,,,,,,,,pnhblk12,,,,,,,,
pnhwht,pnhwht,race,"percentage of persons white, not Hispanic origin",,,,,,,,,,pnhwht12,,,,,,,,
pntv,pntv,race,percentage of persons of Native American race ,,,,,,,,,,pntv12,,,,,,,,
polang,polang,ethnicity,percentage of persons who speak language other than English at home ,,,,,,,,,,polang12,,,,,,,,
pop,pop,demographics,total population,POP70,,POP80,,POP90,,POP00,,pop10,pop12,,,,,,,,
pop,popsf3,demographics,total population from sample-based data,,,,pop80sf3,,POP90SF3,,POP00SF3,,,,,,,,,,
pop,popsf4,demographics,total population from sample-based data ,,,,pop80sf4,,POP90SF4,,,,,,,,,,,,
pop,popsp1,demographics,total population from sample-based data,,POP70SP1,,,,,,,,,,,,,,,,
pop,popsp2,demographics,total population from sample-based data ,,POP70SP2,,,,,,,,,,,,,,,,
pown,pown,housing,percentage of owner-occupied housing units,,,,,,,,,,pown12,,,,,,,,
ppov,ppov,poverty,percent poor ,,,,,,,,,,ppov12,,,,,,,,
ppr,ppr,ethnicity,percentage of Puerto Ricans ,,,,,,,,,,ppr12,,,,,,,,
pprof,pprof,employment,percentage of professional employees (by occupations) ,,,,,,,,,,pprof12,,,,,,,,
pr,pr,ethnicity,Puerto Ricans,,PR70,PR80,,PR90,,PR00,,pr10,pr12,,,,,,,,
prof,prof,employment,professional employees (by occupations) ,,PROF70,,prof80,,PROF90,,PROF00,,prof12,,,,,,,,
pruanc,pruanc,ethnicity,percentage of persons of Russian/USSR parentage or ancestry,,,,,,,,,,pruanc12,,,,,,,,
prufb,prufb,ethnicity,percentage of persons who were born in Russia/ USSR,,,,,,,,,,prufb12,,,,,,,,
pscanc,pscanc,ethnicity,"percentage of persons of Scandinavian parentage/ancestry (Finnish, Swedish, Danish, Norwegian)",,,,,,,,,,pscanc12,,,,,,,,
pscfb,pscfb,ethnicity,"percentage of persons who were born in Scandinavian Countries (Swedish, Norwegian, Finnish, Danish)",,,,,,,,,,pscfb12,,,,,,,,
psemp,psemp,employment,percentage of self-employed ,,,,,,,,,,psemp12,,,,,,,,
punemp,punemp,employment,percent unemployed ,,,,,,,,,,punemp12,,,,,,,,
pvac,pvac,housing,percentage of vacant housing units ,,,,,,,,,,pvac12,,,,,,,,
pvet,pvet,employment,percentage of veterans ,,,,,,,,,,pvet12,,,,,,,,
pviet,pviet,ethnicity,percentage of persons of Vietnamese race ,,,,,,,,,,pviet12,,,,,,,,
pwds,pwds,marital,"percent widowed, divorced, and separated ",,,,,,,,,,pwds12,,,,,,,,
pwpov,pwpov,poverty-race,percentage of whites in poverty,,,,,,,,,,pwpov12,,,,,,,,
rent,rent,housing,renter-occupied housing units,RENT70,,RENT80,,RENT90,,RENT00,,rent10,rent12,,,,,,,,
ruanc,ruanc,ethnicity,persons of Russian/USSR parentage or ancestry ,,RUANC70,,ruanc80,,RUANC90,,RUANC00,,ruanc12,,,,,,,,
rufb,rufb,ethnicity,persons who were born in Russia/ USSR ,,RUFB70,,rufb80,,RUFB90,,RUFB00,,rufb12,,,,,,,,
scanc,scanc,ethnicity,"persons of Scandinavian parentage/ancestry (Finnish, Swedish, Danish, Norwegian)",,SCANC70,,scanc80,,SCANC90,,SCANC00,,scanc12,,,,,,,,
scfb,scfb,ethnicity,"persons who were born in Scandinavian Countries (Swedish, Norwegian, Finnish, Danish)",,SCFB70,,scfb80,,SCFB90,,SCFB00,,scfb12,,,,,,,,
semp,semp,employment,self-employed,,SEMP70,,semp80,,SEMP90,,SEMP00,,semp12,,,,,,,,
unemp,unemp,employment,unemployed,,UNEMP70,,unemp80,,UNEMP90,,UNEMP00,,unemp12,,,,,,,,
vac,vac,housing,vacant housing units,VAC70,,VAC80,,VAC90,,VAC00,,vac10,vac12,,,,,,,,
vet,vet,employment,veterans,,VET70,,vet80,,VET90,,VET00,,vet12,,,,,,,,
viet,viet,ethnicity,persons of Vietnamese race ,,,VIET80,,VIET90,,VIET00,,viet10,viet12,,,,,,,,
wds,wds,marital,"widowed, divorced, and separated ",WDS70,,WDS80,,WDS90,,,WDS00,,wds12,,,,,,,,
white,white,race,persons of white race,WHITE70,,,,,,,,,,,,,,,,,
